hscode,hscode_desc,val_01,vol_01,val_02,vol_02,val_03,vol_03,val_04,vol_04,val_05,vol_05,val_06,vol_06,val_07,vol_07,val_08,vol_08,val_09,vol_09,val_10,vol_10,val_11,vol_11,val_12,vol_12,value,volume,share_val,share_weight
307111000,"Oysters, live","2,282",347,"5,810","1,648","5,046","2,492","13,013","1,684",238,142,"4,765","2,748","2,828",744,790,522,"3,657","1,389","2,286",694,"17,156","6,728","2,788",714,"60,659","19,852",0,0
307112000,"Oysters, fresh or chilled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,36,0,0,0,0,0,0,42,36,0,0
307192000,"Oysters, smoked",200,200,208,208,875,875,182,182,0,0,211,211,0,0,256,256,0,0,"1,718",266,630,252,0,0,"4,280","2,450",0,0
307193000,,"12,816","7,353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,816","7,353",0,0
307211000,"Scallops, live","265,398","106,083","168,576","52,494","261,379","87,641","262,352","84,282","261,204","80,734","181,266","52,403","121,788","38,985","273,647","81,093","60,032","20,025","248,837","66,012","142,344","44,845","87,843","29,490","2,334,666","744,087",0.08,0.11
307212000,"Scallops, fresh or chilled","100,835","101,581","39,793","52,678","59,409","70,781","36,596","38,650","23,146","24,597","5,100","3,500","1,400",600,"5,345","8,694","17,597","27,626","36,067","66,641","33,823","65,988","38,736","74,862","397,847","536,198",0.01,0.08
307291000,"Scallops, frozen","35,496","48,629","51,172","34,112","25,721","20,542","45,543","41,072","69,160","47,053","100,052","47,537","63,452","24,895","14,484","13,752","45,764","18,496","36,597","36,983","2,708",677,"47,484","39,540","537,633","373,288",0.02,0.05
307292000,"Scallops, dried, salted or in brine,","17,145","4,810","9,018","1,741","28,616","5,811","10,135","5,064","19,373","4,074","5,177","1,438",0,0,"13,614","2,559",60,15,"4,582",850,"6,825","1,300","6,510","1,240","121,055","28,902",0,0
307311000,"Mussels, live","5,535","3,075","5,226","2,825","10,340","4,745","15,995","6,178","21,969","19,810","25,430","11,988","5,998","3,283","7,837","4,035","6,308","3,300","10,088","5,075",0,0,"13,702","6,851","128,428","71,165",0,0.01
307391000,"Mussels, frozen","67,193","20,450",0,0,"88,457","24,000","7,736","5,139","114,460","29,224","11,176","24,951",0,0,"29,163","8,240",0,0,"65,232","16,072","25,077","6,504","37,669","10,802","446,163","145,382",0.02,0.02
307412000,"Cuttle fish and squid, fresh or chilled","24,794","14,214","2,318","1,337","13,782","6,832","59,087","27,806","13,340","7,020","3,756","2,104",0,0,"1,735","1,048","22,405","8,411","11,768","10,150","18,430","18,071","11,231","4,838","182,646","101,831",0.01,0.01
307491000,"Cuttle fish and squid, frozen","20,462,253","9,201,154","20,032,528","8,181,956","17,827,589","7,578,030","23,583,699","8,938,931","20,235,031","8,418,730","19,217,480","6,986,950","9,993,192","3,635,884","11,476,231","4,153,037","25,021,750","9,469,222","33,722,842","12,696,970","36,780,868","12,329,803","39,027,820","14,778,803","277,381,283","106,369,470",9.56,15.47
307492000,"Cuttlefish and squid, dried, salted or",0,0,"17,622","5,590",0,0,"8,078","10,026","1,529","1,529","1,305","1,305",0,0,0,0,0,0,0,0,189,20,0,0,"28,723","18,470",0,0
307493000,,0,0,0,0,0,0,0,0,0,0,"7,610",986,0,0,0,0,0,0,0,0,0,0,0,0,"7,610",986,0,0
307591000,"Octopus, frozen","4,579,805","1,305,816","5,372,323","1,381,824","5,756,018","1,507,033","6,020,969","1,655,865","6,095,494","1,536,521","5,117,052","1,344,017","1,942,783","518,972","3,614,476","912,574","3,553,050","823,142","3,746,505","949,471","3,341,341","796,637","3,787,768","919,525","52,927,584","13,651,397",1.83,1.98
307592000,"Octopus, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,060","5,050","6,060","5,050",0,0
307601000,"Snails, other than sea snails, live","220,372","116,282","144,810","80,612","144,227","94,132","152,250","84,655","248,580","118,030","127,796","40,140","201,960","71,271","172,460","95,827","136,499","63,416","143,057","59,919","190,666","74,973","220,866","78,666","2,103,543","977,923",0.07,0.14
307602000,"Snails, other than sea snails, fresh,","58,997","46,554","187,541","110,795","279,121","131,364","565,380","235,551","659,537","223,542","423,734","191,826","466,811","135,892","462,876","104,875","399,333","89,823","426,548","123,276","100,123","36,158","372,456","108,423","4,402,457","1,538,079",0.15,0.22
