hscode,hscode_desc,val_01,vol_01,val_02,vol_02,val_03,vol_03,val_04,vol_04,val_05,vol_05,val_06,vol_06,val_07,vol_07,val_08,vol_08,val_09,vol_09,val_10,vol_10,val_11,vol_11,val_12,vol_12
304620010,"Pangasius fillets, frozen",0,0,0,0,0,0,0,0,0,0,366,78,0,0,0,0,0,0,0,0,0,0,0,0
304710000,"Cod fillets, frozen","19,855","1,434",0,0,0,0,0,0,0,0,0,0,0,0,"29,857","1,816",0,0,0,0,0,0,0,0
304720000,"Haddock fillets, frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,630","4,541",0,0,0,0
304790000,Other fish fillets of family,0,0,0,0,0,0,"18,755","5,156",0,0,"12,903","3,541",0,0,0,0,0,0,0,0,0,0,0,0
304810010,Frozen fillets of red salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,551",249,0,0,"17,412","1,021"
304830000,Frozen fillets of flat fish,"50,000","40,000","100,000","80,000",0,0,0,0,0,0,"42,925","34,340","67,525","54,020","75,600","60,480","24,550","19,640",0,0,0,0,"22,500","18,000"
304870000,"Frozen fillets of tunas, skipjack or","162,853","83,489","104,935","36,574","50,410","27,102","65,105","34,887",932,30,"11,785",200,"25,822","16,660","220,198","47,462","42,574","22,514","48,300","21,320","5,687",88,"247,381","49,823"
304890000,Frozen fillets of other fish,"4,841",350,0,0,0,0,0,0,0,0,"65,606","8,201",0,0,"95,091","4,781","43,864","4,791","75,235","9,404","26,732","2,827",0,0
304940000,Alaska Pollack meat (whether or not,"1,897",137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,50,0,0
304990010,"Meat of tuna loin and skipjack,",0,0,0,0,0,0,0,0,"111,864","19,958","173,373","36,155",0,0,0,0,0,0,0,0,0,0,0,0
304990090,"Meat of other fish,","418,249","352,404","356,409","352,331","306,990","306,990","492,466","445,114","614,736","614,736","446,280","291,140","313,580","321,080","171,912","156,802","361,403","358,981","377,808","289,812","291,882","258,017","767,195","536,337"
305100000,"Flours, meals, and pellats of fish, fit","6,890",200,"11,733",750,"31,878","2,354","8,362",513,"36,132","3,433","32,515","2,050","43,159","2,540","73,743","5,100",894,100,"50,873","3,310","26,079","2,025",0,0
305209000,"Livers&roes of fish, oth than freshwater",0,0,"11,655","5,218",0,0,0,0,0,0,0,0,0,0,"6,983","3,319",0,0,0,0,0,0,0,0
305399000,"Fish fillets, dried,salted,but not",0,0,0,0,0,0,0,0,0,0,"65,000","10,000",0,0,"4,458",135,0,0,0,0,0,0,0,0
305420000,"Herrings, smoked, incl.fillets, other",0,0,0,0,0,0,"1,396",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305430000,"Trout, smoked, incl.fillets, other than",0,0,0,0,0,0,510,29,0,0,0,0,0,0,511,16,0,0,0,0,0,0,0,0
305440010,"Eels, smoked, incl.fillets, other than",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,7
305490000,"Other fish, smoked, incl.fillets, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"201,829","23,000",0,0
305592000,"Marine fish, dried, other than edible",0,0,813,142,0,0,"9,454","1,882",0,0,0,0,0,0,0,0,938,133,0,0,0,0,825,122
305599000,"Fish,not marine fish,dried,oth thn",0,0,0,0,0,0,0,0,0,0,204,21,0,0,0,0,0,0,0,0,0,0,0,0
305620000,"Cod, salted but not dried/smoked & in",0,0,"6,621","2,964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305630000,"Anchovies, salted but not dried/smoked &",0,0,0,0,0,0,120,6,93,3,183,9,0,0,0,0,0,0,0,0,0,0,0,0
305691010,"Mackerel, salted but not dried/smoked &",0,0,0,0,"1,442",86,701,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305699000,"Fish,not marine fish,salted,not",0,0,"26,171","11,716",0,0,0,0,0,0,0,0,0,0,"31,430","14,939",0,0,0,0,0,0,0,0
305710000,"Shark fins, fit for human consumption",0,0,"113,841","3,680",0,0,"3,992",600,0,0,"67,511","3,559",0,0,0,0,"154,704","13,875",0,0,0,0,0,0
305721000,"Fish maws, fit for human consumption",0,0,0,0,0,0,0,0,"8,359","4,980",0,0,0,0,0,0,"13,693","10,340","28,919","1,000",0,0,"22,267","14,760"
305790090,"Other edible fish offal, fit for human","9,543",392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
