hscode,hscode_desc,val_01,vol_01,val_02,vol_02,val_03,vol_03,val_04,vol_04,val_05,vol_05,val_06,vol_06,val_07,vol_07,val_08,vol_08,val_09,vol_09,val_10,vol_10,val_11,vol_11,val_12,vol_12
307491000,"Cuttle fish and squid, frozen","140,656","143,371","70,426","59,907","220,420","233,369","341,217","371,930","267,795","266,163","465,369","339,059","118,055","122,185","157,090","118,686","169,898","125,418","46,351","20,020","184,023","79,440","255,914","145,074"
307492000,"Cuttlefish and squid, dried, salted or",0,0,0,0,0,0,0,0,0,0,93,117,"1,773",108,0,0,0,0,0,0,0,0,0,0
307511000,"Octopus, live",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,18,1,71,4
307512000,"Octopus, fresh or chilled","1,635",72,633,24,449,16,654,19,661,20,78,3,0,0,738,21,548,14,"1,443",43,"7,150",217,"4,643",186
307591000,"Octopus, frozen","164,173","29,585","140,705","27,960",0,0,"32,491","8,400",0,0,0,0,0,0,"15,908",968,"122,203","21,558","185,155","50,278","51,535","5,726","52,623","15,100"
307592000,"Octopus, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,"2,944","2,030",0,0,0,0,0,0,0,0,0,0,0,0
307602000,"Snails, other than sea snails, fresh,",0,0,0,0,0,0,0,0,0,0,0,0,"109,834","23,100",0,0,0,0,0,0,0,0,0,0
307711000,"Clams, cockles and ark shells, live",0,0,56,3,165,9,155,8,161,9,"1,044",33,"1,660",58,63,3,0,0,0,0,117,6,169,8
307712000,"Clams, cockles and ark shells, fresh or","1,580",94,"3,889",145,"4,678",173,"6,954",198,"3,378",133,"6,749",245,"8,598",250,"8,133",155,"6,813",157,"5,963",159,"5,554",135,"9,537",574
307791000,"Clams, cockles and ark shells; frozen","12,475",901,0,0,0,0,0,0,0,0,0,0,0,0,"10,268",625,0,0,0,0,"50,640","24,000","101,280","48,000"
307811000,"Abalone (Haliotis spp), live",188,6,160,11,126,4,67,2,0,0,0,0,0,0,0,0,109,2,95,3,153,5,145,5
307812000,"Abalone (Haliotis spp), fresh or chilled","3,837",89,"2,576",62,"1,953",55,"3,136",69,"3,157",82,"4,707",95,"3,311",70,"5,589",111,"3,134",65,"5,321",100,"11,000",183,"10,044",197
